"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032028",1066.88288492141,-5.05427888114535,0.278013237590793,-18.1799936037029,7.43424494620442e-74,1.22389974549363e-69
"ENSMUSG00000074195",27044.3522122239,10.5874595517078,0.726453103691069,14.5741817302638,4.10005827793581e-48,3.37496297148286e-44
"ENSMUSG00000009185",851.549246538723,6.57963188296988,0.479677086370622,13.7167942141104,8.05488623353959e-43,4.42025306875874e-39
"ENSMUSG00000026656",1748.76601144496,3.27828443060974,0.241894895762696,13.5525159399221,7.65603218122508e-42,3.15103144498771e-38
"ENSMUSG00000021091",8173.87745907543,4.77000637475972,0.355516005845699,13.4171353647295,4.7990801796221e-41,1.58014513994237e-37
"ENSMUSG00000040809",372.415468293504,6.7807776639389,0.507912443632595,13.3502885171364,1.17991040698526e-40,3.23747750503305e-37
"ENSMUSG00000069792",477.324464240053,4.62898204709926,0.351087931589827,13.1846800490632,1.07509135692057e-39,2.52846128699763e-36
"ENSMUSG00000049971",254.286789019322,-2.86217818888098,0.217366144412656,-13.1675436237545,1.34916124150098e-39,2.77640518985383e-36
"ENSMUSG00000027068",734.200454163018,5.01255521671007,0.394736842081307,12.6984732164362,6.02945202629005e-37,1.10292076343126e-33
"ENSMUSG00000018774",627.190673963815,2.4868162202361,0.198283801704003,12.5417013334675,4.41415811766296e-36,7.26702850910852e-33
"ENSMUSG00000026712",1732.31679724189,1.88954419688056,0.151241668526518,12.4935423900673,8.09666507990024e-36,1.21177633827634e-32
"ENSMUSG00000042429",360.536107116382,3.80197322885353,0.308564816483839,12.3214735632462,6.94141922284609e-35,9.52304872214293e-32
"ENSMUSG00000030218",2274.53056845969,2.26750224129066,0.185163952318181,12.2459161888824,1.76670633654292e-34,2.23732972450047e-31
"ENSMUSG00000039109",1058.47044430329,1.67327298143978,0.137219264396237,12.1941550175346,3.33950032355133e-34,3.92701384475897e-31
"ENSMUSG00000058818",768.417100547832,3.25735969616557,0.272594199541035,11.9494827903527,6.53305408714997e-33,7.17024462911666e-30
"ENSMUSG00000012428",1049.64899784021,4.03409514158599,0.356490183109886,11.3161465103865,1.09165792937994e-29,1.12324778071137e-26
"ENSMUSG00000024679",458.259571198926,3.76147055216799,0.334442939222634,11.246972535617,2.39678134804874e-29,2.32107125487803e-26
"ENSMUSG00000028859",272.208061515794,5.35651886097803,0.479527890799788,11.170401062687,5.69232738069359e-29,5.20626587046436e-26
"ENSMUSG00000079012",246.921884953635,6.46060964955737,0.584071029026889,11.0613424198103,1.93184286388425e-28,1.6738910035856e-25
"ENSMUSG00000027962",1819.62614699848,3.1757819849555,0.292492025265867,10.8576703315887,1.83367490091772e-27,1.50938949469042e-24
"ENSMUSG00000063296",339.572927972192,-2.11590493480159,0.195037942496494,-10.8486836341581,2.02318062728595e-27,1.58607726985755e-24
"ENSMUSG00000037095",1721.45581971183,5.834890681785,0.538824154187645,10.8289330321168,2.51063639454992e-27,1.87875486197615e-24
"ENSMUSG00000056749",311.839209039097,3.20906763777938,0.29758536488972,10.7836876956923,4.11068440418585e-27,2.81975822275466e-24
"ENSMUSG00000028544",851.773152231145,3.75497351357241,0.348181888045685,10.7845170656313,4.07377418674021e-27,2.81975822275466e-24
"ENSMUSG00000025491",1195.32215670454,3.68478084217142,0.342081778144306,10.7716373031042,4.68592914316926e-27,3.08577805935982e-24
"ENSMUSG00000024059",267.548907034334,1.87633795889528,0.174452964112927,10.7555521824248,5.57988178052727e-27,3.53313822126232e-24
"ENSMUSG00000061808",220.500171193142,-3.36890754037468,0.315930752932533,-10.6634365572322,1.5091578497024e-26,9.20195025172244e-24
"ENSMUSG00000027225",1404.29253473365,4.0152389257514,0.376683494046678,10.659450146371,1.57525990143379e-26,9.26196562760873e-24
"ENSMUSG00000028655",235.411075965507,6.30627137021138,0.594233927298254,10.612439109432,2.60849175644847e-26,1.43145332621371e-23
"ENSMUSG00000042286",2242.48509846761,1.60116150772489,0.150875540184645,10.6124657831571,2.60774702282146e-26,1.43145332621371e-23
"ENSMUSG00000035811",222.096903637255,-4.02480796820465,0.38219273736848,-10.530833201899,6.22807419871436e-26,3.30750921075595e-23
"ENSMUSG00000021322",207.580224852914,3.16646217494318,0.300869632459427,10.5243661484188,6.67089075119825e-26,3.43196482615552e-23
"ENSMUSG00000022146",1009.30587308556,2.31740293420964,0.221783004204629,10.4489653863264,1.4813234182856e-25,7.39000831370785e-23
"ENSMUSG00000140105",788.92465259795,3.87562646761108,0.371750527183792,10.4253422233749,1.8997419877342e-25,9.1986624541377e-23
"ENSMUSG00000016024",891.026116712789,4.16771499255483,0.401814489417278,10.3722366970862,3.31669170359988e-25,1.56007701475328e-22
"ENSMUSG00000029816",600.076489947313,2.52316390269454,0.244542588202235,10.3178915429156,5.84935438544887e-25,2.67494225687902e-22
"ENSMUSG00000026365",2346.11963049016,2.09884152162073,0.205233030300095,10.2266263795441,1.50677158293028e-24,6.70431907291385e-22
"ENSMUSG00000049037",239.901810710006,2.8798198402766,0.28201107484057,10.2117260533284,1.7571089177368e-24,7.46159310387838e-22
"ENSMUSG00000059089",385.005999538515,5.26439272771394,0.515553473953952,10.2111478123492,1.76761301737992e-24,7.46159310387838e-22
"ENSMUSG00000068452",6846.72293534165,3.08584102327894,0.303155824136283,10.1790590105625,2.45927931453542e-24,1.01217788387991e-21
"ENSMUSG00000064246",187.722745911357,7.54122886687466,0.743010930008422,10.1495530715668,3.32884362456414e-24,1.33665250222438e-21
"ENSMUSG00000030732",260.296177204619,4.20407787315903,0.418472339398792,10.0462503189552,9.54296998218648e-24,3.7406170194461e-21
"ENSMUSG00000073418",7147.79145362021,2.71927508695352,0.270948855230124,10.0361194906838,1.05752896636704e-23,4.04886031937223e-21
"ENSMUSG00000059498",933.148674244463,2.93624619521092,0.292752874307522,10.0297775116857,1.12770422780051e-23,4.21940788688178e-21
"ENSMUSG00000026580",281.123077789242,3.46512545425749,0.345604885232876,10.0262629445258,1.16855960953373e-23,4.27511041150085e-21
"ENSMUSG00000095649",6415.62649174712,-3.84474227993014,0.384465591815756,-10.0002246280927,1.52051763845284e-23,5.44180040909762e-21
"ENSMUSG00000079419",616.562198453559,3.23646687699277,0.324973367071199,9.95917575080449,2.29961294748543e-23,8.05500594775587e-21
"ENSMUSG00000000983",711.252135413916,5.88007559156577,0.600787301648851,9.78728341199622,1.27680190956187e-22,4.37916454939939e-20
"ENSMUSG00000049103",1137.49993048836,3.36430961803348,0.344104612747586,9.77699656848635,1.41342589399429e-22,4.74882254955675e-20
"ENSMUSG00000023078",1547.96786099274,4.67835471366159,0.480243450055067,9.74163148529178,2.00312161344948e-22,6.59547822444375e-20
"ENSMUSG00000032883",3002.16360451798,-2.30359320275899,0.236724294571541,-9.73112289521604,2.22127204302415e-22,7.17035326358954e-20
"ENSMUSG00000022488",782.503540299225,1.97754840411836,0.203335226055233,9.72555735906375,2.34616962469509e-22,7.42788279449138e-20
"ENSMUSG00000055435",1134.98101981237,1.37291906932223,0.141307250690457,9.71584304849078,2.58104197200745e-22,8.01730075191672e-20
"ENSMUSG00000043832",203.042289048556,3.22146954484072,0.332696103773947,9.68291936183773,3.56391045052097e-22,1.08653069901716e-19
"ENSMUSG00000040522",108.360282584708,3.08671881075917,0.320042241486873,9.64472313535455,5.17506526172591e-22,1.54903817097807e-19
"ENSMUSG00000000290",763.782736617126,2.717464856929,0.282523150449264,9.61855640009581,6.67615100557136e-22,1.96266917865574e-19
"ENSMUSG00000028214",594.147758893179,2.36450768983263,0.246127651891867,9.60683479348126,7.48134194967081e-22,2.16079530732334e-19
"ENSMUSG00000074818",153.986646474251,-2.89804002316159,0.30334660524514,-9.55356009611391,1.25314335428994e-21,3.5569825933923e-19
"ENSMUSG00000033777",253.51861770298,2.69526195815002,0.283011444528528,9.52350871407372,1.67428467866718e-21,4.6718218076098e-19
"ENSMUSG00000121069",6832.09388109838,2.38896705688242,0.250932111409045,9.52037203794996,1.72560166303167e-21,4.73476336308172e-19
"ENSMUSG00000047798",189.870530322638,4.59188189347036,0.483840787236554,9.490481196711,2.29970199493446e-21,6.13679907767824e-19
"ENSMUSG00000042684",134.561708702504,2.7115009913825,0.285722988000584,9.48996442448292,2.31113128115198e-21,6.13679907767824e-19
"ENSMUSG00000090290",379.243576453815,-1.49064481028747,0.157308248686397,-9.47594816378104,2.64348888323769e-21,6.90789801345113e-19
"ENSMUSG00000038147",323.14507921106,2.0369187722497,0.215968908409584,9.43153710063994,4.04122715608254e-21,1.03954254172792e-18
"ENSMUSG00000028370",968.512740442019,2.87198080022555,0.305399602870657,9.40400960980257,5.25224982984403e-21,1.33027367613419e-18
"ENSMUSG00000031805",636.085533330552,1.54987171404188,0.165184274278464,9.38268319312979,6.43147915717958e-21,1.60426426310072e-18
"ENSMUSG00000021939",14622.8775749211,1.35351067630648,0.14435282101733,9.37640613302589,6.82597597655174e-21,1.67725436570106e-18
"ENSMUSG00000074677",153.15206758328,5.33728516918339,0.571859034284907,9.33321823945217,1.02704072827979e-20,2.48649581024561e-18
"ENSMUSG00000135102",1047.76590932285,4.36640302145467,0.472880512394026,9.23362859541223,2.61615731421711e-20,6.24199969042844e-18
"ENSMUSG00000098112",216.16524144794,2.54464537348643,0.276102823177094,9.21629610376811,3.07540085906787e-20,7.1310315975823e-18
"ENSMUSG00000034652",387.219504672596,2.93806173157806,0.318768325112252,9.21691868394842,3.0576025566762e-20,7.1310315975823e-18
"ENSMUSG00000020826",4151.1382471992,8.3044685990048,0.906372635370697,9.16231169711822,5.07972708245057e-20,1.16149370775533e-17
"ENSMUSG00000037902",1468.5200444144,1.89834849101281,0.207636598380287,9.14264877108026,6.09410539351439e-20,1.35577374450577e-17
"ENSMUSG00000020072",254.599576554425,-2.30462843685582,0.252070169982294,-9.14280510469647,6.08529951359334e-20,1.35577374450577e-17
"ENSMUSG00000030786",916.829194835991,3.00758593120386,0.330024296126514,9.1132258033842,7.99681451267843e-20,1.75535409762967e-17
"ENSMUSG00000058099",357.874120270053,2.69860304228886,0.296586213418523,9.0988822817626,9.12662018225012e-20,1.9769940534261e-17
"ENSMUSG00000026938",292.067900270765,1.9159147582412,0.210650465106762,9.09523155939948,9.43851270673889e-20,2.01800304793562e-17
"ENSMUSG00000028874",250.490805195521,3.11025493114742,0.342293619221436,9.08651156928327,1.02267619724282e-19,2.15850233784724e-17
"ENSMUSG00000038156",1706.10937435453,2.85121366271208,0.313979069308447,9.08090360606522,1.07677153738076e-19,2.24391010378474e-17
"ENSMUSG00000064325",659.730239329738,-1.8396410500982,0.203052876590878,-9.05991129495204,1.30556685518115e-19,2.68669339210592e-17
"ENSMUSG00000027452",1319.31568486947,-1.31977650883435,0.145771388347241,-9.05374177880858,1.38151272664252e-19,2.80788197761924e-17
"ENSMUSG00000138080",177.305591262624,2.59556953871171,0.28723345565957,9.03644574672382,1.61848639763128e-19,3.24066134511859e-17
"ENSMUSG00000021190",3578.71159009679,2.07079979916104,0.229187018228257,9.03541489901771,1.63381456383917e-19,3.24066134511859e-17
"ENSMUSG00000030748",1894.88637729009,2.27661456015279,0.252553126791689,9.01439862999831,1.97953528429999e-19,3.87965349826556e-17
"ENSMUSG00000046768",893.225478096617,0.994447103182508,0.110413766235638,9.0065499718597,2.12640563697396e-19,4.11847247076498e-17
"ENSMUSG00000028581",1923.90396071719,2.33223020727428,0.259050544797442,9.002992868044,2.19646620684887e-19,4.20470036783173e-17
"ENSMUSG00000069516",8858.59905217815,2.52063752917892,0.281292097723037,8.96092549198008,3.21964562443041e-19,6.09253171436757e-17
"ENSMUSG00000017002",1642.85522759762,4.92252766764223,0.5505234155956,8.94154095574053,3.83780817220182e-19,7.17975408397256e-17
"ENSMUSG00000021904",288.489125029229,1.46845655260404,0.165084712247231,8.89516983501708,5.83300243402034e-19,1.07897437158738e-16
"ENSMUSG00000071713",1001.88726574008,2.84391802042503,0.3200677605232,8.88536232382857,6.37127830919445e-19,1.16544838671409e-16
"ENSMUSG00000137898",1232.60360140789,2.21427087215257,0.249351929644469,8.88010321520157,6.67983513058353e-19,1.20846292038238e-16
"ENSMUSG00000035778",547.652601480411,1.68741729439606,0.190621735995427,8.85217672362684,8.58286533315546e-19,1.53586643456237e-16
"ENSMUSG00000039621",754.560782987986,2.13602887192062,0.241378972164264,8.84927486751832,8.80897713239361e-19,1.55937839280211e-16
"ENSMUSG00000043587",989.597891191051,-1.32706328545718,0.150211348140478,-8.83464067053112,1.00420523075126e-18,1.75874794828277e-16
"ENSMUSG00000006522",89.0492735966153,2.55937661841062,0.290693331604542,8.80438709853994,1.31569560248073e-18,2.28003123196212e-16
"ENSMUSG00000001227",252.605501991954,2.21983488383672,0.252274619120017,8.79927949779463,1.37697345689015e-18,2.36136604383152e-16
"ENSMUSG00000048865",765.09562028812,2.34822490565572,0.266955606279609,8.79631238459996,1.41385647115922e-18,2.39962052419529e-16
"ENSMUSG00000029287",2748.90888876054,1.43841695913764,0.164619336935058,8.73783715764265,2.37615681320139e-18,3.9917009811974e-16
"ENSMUSG00000036896",1573.07167318232,2.18909708154146,0.250581284696159,8.73607573764273,2.41348192646577e-18,4.01344979347535e-16
"ENSMUSG00000020101",1311.71150516156,1.64782840308765,0.189310640956846,8.70436228391031,3.19365368938353e-18,5.16086034388023e-16
"ENSMUSG00000021756",5453.86271640095,1.12011362617268,0.128656603095453,8.7062272687368,3.14156616292473e-18,5.16086034388023e-16
"ENSMUSG00000055373",556.495494750097,-4.96289932286445,0.57017130168449,-8.704225042899,3.19752022763642e-18,5.16086034388023e-16
"ENSMUSG00000046805",4550.25127006263,2.74124338053678,0.315239484106089,8.69574884729305,3.445498020068e-18,5.50711008780383e-16
"ENSMUSG00000134447",760.1330476578,3.87904694608396,0.446618798173612,8.68536425682664,3.77530632596055e-18,5.97623731195082e-16
"ENSMUSG00000086141",206.402589530697,-2.27779900441019,0.2627896009287,-8.66776689930054,4.40677744888217e-18,6.90940734675687e-16
"ENSMUSG00000029055",706.409071855046,-2.04384177924715,0.236816798975225,-8.63047633483539,6.10969932369285e-18,9.48905471376938e-16
"ENSMUSG00000023992",128.108161580316,2.10828158211042,0.24441391005695,8.62586577670304,6.36095885847332e-18,9.69633941546724e-16
"ENSMUSG00000028194",824.687249328557,2.43670059376186,0.28247461612141,8.62626393556915,6.33886412749664e-18,9.69633941546724e-16
"ENSMUSG00000002699",333.397285358479,2.87401050216408,0.334375070343247,8.59516978707118,8.31417743867104e-18,1.25574590066827e-15
"ENSMUSG00000024300",442.852548375177,2.53831441169779,0.295934946012896,8.57727161288742,9.71500233866605e-18,1.44088363514828e-15
"ENSMUSG00000022994",5431.26673114372,-1.41412941378047,0.164867399662852,-8.5773744031404,9.70632737952826e-18,1.44088363514828e-15
"ENSMUSG00000038587",1132.65703957846,0.921925648936069,0.107558693609456,8.57137268962716,1.02258723221908e-17,1.5031119289306e-15
"ENSMUSG00000035004",251.247685288613,2.84079643315794,0.332064495857985,8.55495383756074,1.17915910481749e-17,1.71792003031949e-15
"ENSMUSG00000032527",1947.86560918996,-1.45687109869844,0.170373351968191,-8.55105027792398,1.21973474143468e-17,1.76144675861747e-15
"ENSMUSG00000026177",322.736436070699,2.53269856618042,0.296364252283596,8.54589764678108,1.27541016959453e-17,1.82583283669867e-15
"ENSMUSG00000027200",1357.91694725219,1.26844392652404,0.148511807937375,8.54103080516621,1.33029741371124e-17,1.88799020016623e-15
"ENSMUSG00000022893",1145.50405800188,2.35813977516078,0.27618251792834,8.53833831644853,1.36165752345851e-17,1.91598015458952e-15
"ENSMUSG00000031621",269.657760164026,6.80072277389783,0.797653795723548,8.52590786925163,1.51615906442259e-17,2.11529887098212e-15
"ENSMUSG00000026278",322.571211401211,-1.30667404721154,0.153372692635858,-8.51960035880631,1.60104820625486e-17,2.21496274114066e-15
"ENSMUSG00000022938",1198.57193034754,2.17024971194456,0.255242720359358,8.50268994504155,1.85247201914782e-17,2.54143723760254e-15
"ENSMUSG00000022148",477.619927259677,2.22141205533536,0.261318077678077,8.50079747667502,1.88292624588104e-17,2.56186899057352e-15
"ENSMUSG00000058715",529.395500631689,2.89933437220637,0.341708760009509,8.48481137014365,2.16068945878951e-17,2.91569102951244e-15
"ENSMUSG00000066361",67.6596788493893,3.37486046188707,0.398240797118764,8.47442172249523,2.36250126611332e-17,3.16210230439216e-15
"ENSMUSG00000020310",92.2322663251549,2.66925511402852,0.315619210639131,8.45720103229225,2.73871549008354e-17,3.63608654139075e-15
"ENSMUSG00000008845",1054.13199023406,2.21740531081168,0.26227914731465,8.45437135782478,2.80594957510886e-17,3.69554782840138e-15
"ENSMUSG00000020932",201.497556893921,2.45092269850887,0.291064367116543,8.42055220564844,3.7471389812676e-17,4.89596421020702e-15
"ENSMUSG00000024672",403.884165214826,2.08313175980682,0.247484064787158,8.41723592021314,3.85470921154152e-17,4.99685651571716e-15
"ENSMUSG00000023274",338.026662254589,2.60134711649632,0.309533997133734,8.40407561232251,4.31244793623084e-17,5.5465492479819e-15
"ENSMUSG00000026814",1046.21447415021,1.32954975668317,0.158256297028731,8.40124394191903,4.41773595218131e-17,5.63792147137681e-15
"ENSMUSG00000048163",434.568360775442,2.47059892634374,0.294287999005812,8.39517389322747,4.65205229276216e-17,5.89128745351873e-15
"ENSMUSG00000006344",636.329252477547,2.25099031874605,0.268631565393329,8.37947065323528,5.31662696057e-17,6.68149844670717e-15
"ENSMUSG00000071714",623.213853131594,2.47176895729556,0.295037390095197,8.37781596596288,5.3918865477518e-17,6.7247445633059e-15
"ENSMUSG00000002985",12788.2805921516,2.14263737544925,0.256353680579672,8.35812995001392,6.37202351553118e-17,7.88741527339773e-15
"ENSMUSG00000026482",610.24417190318,1.04091765183402,0.124632082720065,8.35192375122235,6.71600141566367e-17,8.25115905269187e-15
"ENSMUSG00000018654",417.25648204201,2.2561466908691,0.270498773543915,8.34069101796802,7.38576501725839e-17,9.00680366512036e-15
"ENSMUSG00000024965",445.638551667761,2.24513227219131,0.269319072009976,8.33632856164064,7.66327921334354e-17,9.27651218303491e-15
"ENSMUSG00000040552",380.687711060522,1.92099951223458,0.230947513438728,8.31790515356312,8.9531611813892e-17,1.07588242722051e-14
"ENSMUSG00000004730",637.439962566449,2.01156313269995,0.242588183817133,8.29209032792915,1.11275373385135e-16,1.32748295075325e-14
"ENSMUSG00000061762",1742.90176196873,4.53735295407533,0.548547924938014,8.27157071934609,1.32205572335135e-16,1.56582758082973e-14
"ENSMUSG00000028599",1687.40042455183,2.32576315381187,0.281325299763774,8.26716671328456,1.3718007106574e-16,1.61313964996806e-14
"ENSMUSG00000073490",346.10168250705,2.48638514914191,0.301092000927257,8.25789174566153,1.48267929025976e-16,1.73115951457776e-14
"ENSMUSG00000039936",525.566083805278,2.24754143962875,0.272363044561178,8.25200585949504,1.55757783778862e-16,1.80580309461367e-14
"ENSMUSG00000053113",2287.49294931726,4.15542753824455,0.503774386784766,8.24858835076092,1.60276501951978e-16,1.84519723890588e-14
"ENSMUSG00000029084",7099.44025546743,2.06514160016806,0.250613559668064,8.24034263310944,1.71718185434012e-16,1.96319200472231e-14
"ENSMUSG00000036905",1709.37025378927,2.23956905256163,0.271950919955946,8.23519572180312,1.79264317467637e-16,2.03532997135842e-14
"ENSMUSG00000078763",143.822193226843,5.41232531589877,0.658081906058011,8.22439466284561,1.96179119788938e-16,2.21212112951047e-14
"ENSMUSG00000020143",501.454802486497,2.1214134832131,0.259065549439921,8.18871319555774,2.64033892240589e-16,2.93702024861947e-14
"ENSMUSG00000031538",640.065630832123,2.03361239584952,0.248322753764418,8.18939209162763,2.62548903062855e-16,2.93702024861947e-14
"ENSMUSG00000022372",401.623088531656,2.55123128983883,0.311620029738987,8.18699392325884,2.67831689917897e-16,2.95927054437472e-14
"ENSMUSG00000015340",1183.17439392931,2.65148224574926,0.32476115304033,8.16440704476744,3.2301795796568e-16,3.54522976132599e-14
"ENSMUSG00000062593",220.087489010114,2.84930579918584,0.349033304473101,8.16342097636537,3.25667037310322e-16,3.55063340082108e-14
"ENSMUSG00000054252",647.812502241995,-2.41614658092498,0.296509406934459,-8.1486338187545,3.68058607816645e-16,3.98641372400357e-14
