"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032028",1066.88288492141,3.18414564789203,0.279380225350758,11.3971761741347,4.31901680474612e-30,6.97218882790166e-26
"ENSMUSG00000075420",820.669879684838,1.60699768036677,0.153883483052049,10.4429510464305,1.57826649720834e-25,1.27389780322171e-21
"ENSMUSG00000059534",1403.64305867262,1.14520805768226,0.130822314147575,8.75391988854746,2.06067397995922e-18,1.10884866861606e-14
"ENSMUSG00000000088",2899.62233510207,0.799884939606498,0.100470267531058,7.96140947230217,1.70090486055265e-15,6.86442679097536e-12
"ENSMUSG00000062638",214.857843121647,4.83137033675839,0.631745552835234,7.64765231045238,2.04681741643247e-14,6.60835471069388e-11
"ENSMUSG00000001930",1197.80321905753,-1.25273010944776,0.164654849709094,-7.60821871728064,2.77899277370093e-14,7.47688005764235e-11
"ENSMUSG00000022956",2733.49309688288,0.82490375783239,0.109454709306908,7.53648484433302,4.82809052830758e-14,1.11342664854956e-10
"ENSMUSG00000100510",542.261829929883,-1.38308458413259,0.187781789578695,-7.36538184685353,1.76640516207312e-13,3.56438481641829e-10
"ENSMUSG00000041445",455.630339861763,-1.06589342152718,0.146305408100491,-7.28540000923999,3.2071727118394e-13,5.75259878746927e-10
"ENSMUSG00000023247",3570.68194294501,2.88618776770358,0.399497438654356,7.22454636361437,5.0277731378214e-13,7.37848561489553e-10
"ENSMUSG00000021213",1676.8853742823,1.24614210816353,0.172241096119211,7.23487098166779,4.65971903039973e-13,7.37848561489553e-10
"ENSMUSG00000025781",4286.47967477016,0.683407511183183,0.0982183066772729,6.95804615557804,3.450241894429e-12,4.64143790848061e-09
"ENSMUSG00000091542",179.458761101991,-1.54413363897315,0.229767920523099,-6.72040568351629,1.81219303150443e-11,1.95028214050507e-08
"ENSMUSG00000021236",2615.58855745062,1.02749573936063,0.15269374688278,6.7291278152302,1.70683076208438e-11,1.95028214050507e-08
"ENSMUSG00000021749",8378.35799210991,0.886190189690235,0.131492185299815,6.73948940516607,1.58944184175682e-11,1.95028214050507e-08
"ENSMUSG00000021904",288.489125029229,-1.07030818991387,0.16238969095437,-6.59098606336171,4.36914904254614e-11,4.40819831211389e-08
"ENSMUSG00000030884",3743.51698395672,0.635554001988364,0.0970066914090563,6.55165115680907,5.69043477819501e-11,5.40356991908248e-08
"ENSMUSG00000030711",1414.64660470846,1.81207284344713,0.277509531350433,6.52976794933536,6.58716674054679e-11,5.90759070514705e-08
"ENSMUSG00000047793",877.830696377897,-1.4042228169417,0.21545813456242,-6.51738129912602,7.15453959591763e-11,6.07872277352097e-08
"ENSMUSG00000028262",494.05212299333,-3.0394011894796,0.468880409999841,-6.48225245640063,9.03632693461313e-11,7.29367128527299e-08
"ENSMUSG00000032381",987.411972417364,0.82750807286396,0.128270292915726,6.45128387917253,1.1090652737464e-10,8.36142430160304e-08
"ENSMUSG00000018770",5388.11432202702,0.698410669169392,0.108328102027574,6.44717904308537,1.13951145781619e-10,8.36142430160304e-08
"ENSMUSG00000038462",2409.28648754506,0.749036062067158,0.11631811284794,6.43954792360119,1.1982987641362e-10,8.41049432584809e-08
"ENSMUSG00000035811",222.096903637255,2.47687918839679,0.385922256348008,6.41807811717198,1.38005441278198e-10,9.28259099397477e-08
"ENSMUSG00000024059",267.548907034334,-1.07197705203586,0.16792320003704,-6.38373406294908,1.72821111518478e-10,1.11594048129712e-07
"ENSMUSG00000078377",51.4316443147649,8.91312667779386,1.40103822158535,6.36180122745557,1.99401387486769e-10,1.23805253776881e-07
"ENSMUSG00000039959",595.694867964711,-0.893798855352838,0.140637960188889,-6.35531725682303,2.07996887512377e-10,1.24359027967122e-07
"ENSMUSG00000022354",1996.04828101241,0.864030503974127,0.136251199995363,6.34145243494025,2.27609032491037e-10,1.31224736125101e-07
"ENSMUSG00000028719",6364.0801513041,0.786520442885512,0.124335991465595,6.32576644634029,2.51978695721149e-10,1.40265244311259e-07
"ENSMUSG00000028179",558.504626384801,1.37354584616618,0.218204173343414,6.29477349181797,3.07849054293651e-10,1.65653576115414e-07
"ENSMUSG00000031231",2955.39806621363,0.971992763291011,0.15553012866393,6.24954644891536,4.11646309884059e-10,2.14361496143818e-07
"ENSMUSG00000026398",806.219304491809,1.0152892815061,0.163285714102534,6.21786962249836,5.03950008445354e-10,2.54227030822917e-07
"ENSMUSG00000025204",1759.74070022474,0.737583408938689,0.118835391863371,6.20676548773206,5.40862146796805e-10,2.64579928355783e-07
"ENSMUSG00000029260",3941.73931456286,1.29302082151676,0.210417769739196,6.14501723461572,7.99548328471858e-10,3.79620843132976e-07
"ENSMUSG00000036560",314.967006457383,-1.31694418849693,0.2145367205222,-6.1385490805088,8.32785839448755e-10,3.84104623034893e-07
"ENSMUSG00000061518",2952.97146541184,0.68325510593705,0.112069787753541,6.09669313766913,1.08285100186439e-09,4.85568436752691e-07
"ENSMUSG00000027673",1098.48466160955,0.763618591573957,0.125402634754214,6.08933451095849,1.13380996089699e-09,4.94678221588111e-07
"ENSMUSG00000039865",760.836965151627,1.18716628208719,0.195618268006416,6.06879047742237,1.28877148294352e-09,5.47490474977824e-07
"ENSMUSG00000033278",462.079445364334,-0.779042896652199,0.128517151767534,-6.06178152828469,1.34621995277209e-09,5.57231505066661e-07
"ENSMUSG00000059970",441.539860831831,-1.33734925794306,0.22225434268545,-6.01720192183501,1.77457670999221e-09,7.16174795735106e-07
"ENSMUSG00000029149",615.181601883599,0.722737993688868,0.120739847402498,5.98591110753643,2.15181872298839e-09,8.47239259639061e-07
"ENSMUSG00000068240",6839.4856480631,0.700570746168848,0.117375677658641,5.96861939495071,2.39269525766179e-09,8.77847262373508e-07
"ENSMUSG00000001227",252.605501991954,-1.47625302628291,0.247190224753701,-5.9721335168243,2.34170755549037e-09,8.77847262373508e-07
"ENSMUSG00000078670",960.005323381788,1.02115044651548,0.170975501671179,5.97249568817968,2.33651323405929e-09,8.77847262373508e-07
"ENSMUSG00000054662",853.958792835289,0.940447558224809,0.158008640829627,5.95187423476952,2.65089049520648e-09,9.50962783647071e-07
"ENSMUSG00000038690",1735.88659481285,0.864257914002221,0.145802767617947,5.92758236432708,3.07427162395411e-09,1.07886884403242e-06
"ENSMUSG00000036751",2480.61786714717,0.811807765765717,0.137423374360348,5.90734850999233,3.47657772299045e-09,1.19409349323904e-06
"ENSMUSG00000021520",1999.5102504833,0.715031551859927,0.12124128605734,5.89759128356459,3.68846225266462e-09,1.24047596134927e-06
"ENSMUSG00000026365",2346.11963049016,-1.20284555488011,0.204480816298968,-5.8824371725974,4.04268816894447e-09,1.33185949206675e-06
"ENSMUSG00000101249",235.262712925018,11.3544381069918,1.93856754079429,5.85712794011787,4.70940326240987e-09,1.52047793730165e-06
"ENSMUSG00000061838",2838.18936563542,0.687174837718703,0.117555420715562,5.84553935102148,5.04929551530256e-09,1.59825053928489e-06
"ENSMUSG00000031871",613.383225465538,-1.04593475165152,0.179264395888401,-5.83459278942738,5.39220938823969e-09,1.67396992604526e-06
"ENSMUSG00000071551",1164.67617908644,2.549326660834,0.437592784703303,5.82579683657832,5.68407304626109e-09,1.73128285256213e-06
"ENSMUSG00000024099",1994.116223394,0.744300891429395,0.128526021292846,5.79105214603594,6.99468543376076e-09,2.09102235105926e-06
"ENSMUSG00000063882",2625.25095067114,1.16036394490989,0.201032887659203,5.77201053231138,7.83312187353094e-09,2.29909248008018e-06
"ENSMUSG00000030793",1920.72734332874,1.32434898232045,0.229717133406324,5.7651293252817,8.15952484556738e-09,2.35212874253561e-06
"ENSMUSG00000009863",1859.5578828964,0.667112946283466,0.115787263683342,5.7615399575199,8.33499250689105e-09,2.36055761471478e-06
"ENSMUSG00000020267",2840.54683892341,0.82179347524411,0.143204736939296,5.73859142377717,9.5467223701454e-09,2.65711619346995e-06
"ENSMUSG00000073616",482.474170705717,0.939901638344637,0.164027238001541,5.73015585579638,1.00338399560277e-08,2.74536065101959e-06
"ENSMUSG00000031805",636.085533330552,-0.933950021028676,0.163234754109075,-5.72151455200894,1.0557861321919e-08,2.8405925886623e-06
"ENSMUSG00000041268",337.828643770982,-1.03861469022165,0.181862330766717,-5.71099405711415,1.12318168789738e-08,2.87801936313134e-06
"ENSMUSG00000025651",3707.40238708948,0.606858598246097,0.10620022531281,5.71428729514096,1.1016474695131e-08,2.87801936313134e-06
"ENSMUSG00000020581",9257.81792009381,1.33168834143618,0.233157017645275,5.71155161824127,1.11950729488961e-08,2.87801936313134e-06
"ENSMUSG00000029186",1324.18081265078,0.760225481755168,0.133490322229426,5.69498574172735,1.23382231699613e-08,3.1121240098857e-06
"ENSMUSG00000047215",9183.01523840944,1.04330796945381,0.184196227473045,5.66411149547833,1.47788293009635e-08,3.61476729402203e-06
"ENSMUSG00000014313",3011.09934943102,0.712092746519903,0.125686738944015,5.66561558126741,1.46497633882333e-08,3.61476729402203e-06
