"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032028",1066.88288492141,-5.05427888114535,0.278013237590793,-18.1799936037029,7.43424494620442e-74,1.22389974549363e-69
"ENSMUSG00000049971",254.286789019322,-2.86217818888098,0.217366144412656,-13.1675436237545,1.34916124150098e-39,2.77640518985383e-36
"ENSMUSG00000063296",339.572927972192,-2.11590493480159,0.195037942496494,-10.8486836341581,2.02318062728595e-27,1.58607726985755e-24
"ENSMUSG00000061808",220.500171193142,-3.36890754037468,0.315930752932533,-10.6634365572322,1.5091578497024e-26,9.20195025172244e-24
"ENSMUSG00000035811",222.096903637255,-4.02480796820465,0.38219273736848,-10.530833201899,6.22807419871436e-26,3.30750921075595e-23
"ENSMUSG00000095649",6415.62649174712,-3.84474227993014,0.384465591815756,-10.0002246280927,1.52051763845284e-23,5.44180040909762e-21
"ENSMUSG00000032883",3002.16360451798,-2.30359320275899,0.236724294571541,-9.73112289521604,2.22127204302415e-22,7.17035326358954e-20
"ENSMUSG00000074818",153.986646474251,-2.89804002316159,0.30334660524514,-9.55356009611391,1.25314335428994e-21,3.5569825933923e-19
"ENSMUSG00000090290",379.243576453815,-1.49064481028747,0.157308248686397,-9.47594816378104,2.64348888323769e-21,6.90789801345113e-19
"ENSMUSG00000020072",254.599576554425,-2.30462843685582,0.252070169982294,-9.14280510469647,6.08529951359334e-20,1.35577374450577e-17
"ENSMUSG00000064325",659.730239329738,-1.8396410500982,0.203052876590878,-9.05991129495204,1.30556685518115e-19,2.68669339210592e-17
"ENSMUSG00000027452",1319.31568486947,-1.31977650883435,0.145771388347241,-9.05374177880858,1.38151272664252e-19,2.80788197761924e-17
"ENSMUSG00000043587",989.597891191051,-1.32706328545718,0.150211348140478,-8.83464067053112,1.00420523075126e-18,1.75874794828277e-16
"ENSMUSG00000055373",556.495494750097,-4.96289932286445,0.57017130168449,-8.704225042899,3.19752022763642e-18,5.16086034388023e-16
"ENSMUSG00000086141",206.402589530697,-2.27779900441019,0.2627896009287,-8.66776689930054,4.40677744888217e-18,6.90940734675687e-16
"ENSMUSG00000029055",706.409071855046,-2.04384177924715,0.236816798975225,-8.63047633483539,6.10969932369285e-18,9.48905471376938e-16
"ENSMUSG00000022994",5431.26673114372,-1.41412941378047,0.164867399662852,-8.5773744031404,9.70632737952826e-18,1.44088363514828e-15
"ENSMUSG00000032527",1947.86560918996,-1.45687109869844,0.170373351968191,-8.55105027792398,1.21973474143468e-17,1.76144675861747e-15
"ENSMUSG00000026278",322.571211401211,-1.30667404721154,0.153372692635858,-8.51960035880631,1.60104820625486e-17,2.21496274114066e-15
"ENSMUSG00000054252",647.812502241995,-2.41614658092498,0.296509406934459,-8.1486338187545,3.68058607816645e-16,3.98641372400357e-14
"ENSMUSG00000021749",8378.35799210991,-1.06172683899335,0.131453060522013,-8.07685142344445,6.64604401789235e-16,6.79588960661875e-14
"ENSMUSG00000075420",820.669879684838,-1.24366351688528,0.154370277512591,-8.05636639983266,7.85958101737524e-16,7.98717791907707e-14
"ENSMUSG00000021062",1439.39404314753,-1.67373116802857,0.214852213612113,-7.79015091299116,6.69292066363103e-15,6.08759960692584e-13
"ENSMUSG00000050931",803.805669180072,-1.16333978540753,0.149863346056271,-7.76267056636194,8.31594195171486e-15,7.48116679514107e-13
"ENSMUSG00000044716",77.7420226998191,-3.62348261794539,0.468595710101613,-7.73264146434385,1.05337660300847e-14,9.07944451064313e-13
"ENSMUSG00000060961",2610.47528951122,-3.09251984293866,0.400945002826505,-7.71307740746887,1.22819541981684e-14,1.04594174361383e-12
"ENSMUSG00000066894",2124.27982360544,-1.34209714149569,0.174088743743216,-7.70927006903618,1.26539380755279e-14,1.06831683352521e-12
"ENSMUSG00000006360",2618.97883649606,-1.90657938512112,0.248101337506252,-7.68467999521797,1.53379891462173e-14,1.27529957229382e-12
"ENSMUSG00000021704",665.185667850859,-1.0548259005239,0.137635243108787,-7.66392296550211,1.80338086313958e-14,1.49191252009381e-12
"ENSMUSG00000026489",634.871231470601,-1.87339785214101,0.245150740876848,-7.64182007135812,2.14172338875638e-14,1.73690601719686e-12
"ENSMUSG00000039865",760.836965151627,-1.48653990917185,0.195181445344251,-7.61619480043284,2.61263304552767e-14,2.04817989659629e-12
"ENSMUSG00000041476",43.0900013471099,-3.96924573638589,0.525778592806357,-7.5492722425231,4.37697090164139e-14,3.25226072463885e-12
"ENSMUSG00000026322",258.938888112322,-3.55937748717617,0.474660016906645,-7.49879357939731,6.44078615114159e-14,4.57045958647603e-12
"ENSMUSG00000053414",268.898010036041,-2.74999754052623,0.367175931852424,-7.48959096161977,6.90885887829999e-14,4.84002313674267e-12
"ENSMUSG00000027605",1695.44398002492,-1.78887539921911,0.239189369670196,-7.47890845519467,7.494245287323e-14,5.16224937929701e-12
"ENSMUSG00000085004",32.3050221669127,-5.26071940057931,0.719105330653244,-7.31564511669022,2.56147794390034e-13,1.54467440990591e-11
"ENSMUSG00000026398",806.219304491809,-1.18982022608558,0.162966402300888,-7.30101548102409,2.8560388033896e-13,1.68526762796426e-11
"ENSMUSG00000079470",703.50688152732,-2.03531806647392,0.279620007963599,-7.27887135579685,3.36624486919938e-13,1.96519465537693e-11
"ENSMUSG00000041961",271.353319811346,-1.09489906413909,0.150622392030279,-7.26916529063611,3.61715586976816e-13,2.09680412267582e-11
"ENSMUSG00000021662",705.450467088119,-1.43443565288724,0.200340176774166,-7.15999993602984,8.0677098626266e-13,4.47201035247211e-11
"ENSMUSG00000038020",1633.30163481197,-2.07322280699977,0.289922177891251,-7.15096313803712,8.61711304166775e-13,4.71307415298924e-11
"ENSMUSG00000034579",164.192960182959,-1.93796409058379,0.275005207937164,-7.04700869165573,1.828049049756e-12,9.2034163627318e-11
"ENSMUSG00000031853",475.878346523271,-1.83364392648007,0.261265009928587,-7.01832949992527,2.24536531893164e-12,1.10344624613647e-10
"ENSMUSG00000139288",78.6986163685407,-4.43302281056568,0.635584786421593,-6.97471510531907,3.06491266336085e-12,1.47106872235888e-10
"ENSMUSG00000042251",179.176721703614,-2.52361583306271,0.362236040556108,-6.96677180213331,3.24296044235503e-12,1.54303057117026e-10
"ENSMUSG00000020182",1008.52753964608,-1.64193186285527,0.235919837427036,-6.95970241740728,3.40992249738545e-12,1.61015467391902e-10
"ENSMUSG00000029260",3941.73931456286,-1.46305364701624,0.210369633058959,-6.95468079561747,3.53361207131094e-12,1.66211015799977e-10
"ENSMUSG00000021340",190.378636427584,-2.10049779163479,0.302882904741742,-6.93501600371212,4.06175176782752e-12,1.88362308038717e-10
"ENSMUSG00000053182",226.216185294992,-2.1004627586763,0.30319212434198,-6.92782757215396,4.27352161443574e-12,1.96522308207977e-10
"ENSMUSG00000005373",212.776323051669,-2.28867545017116,0.330616777739897,-6.92244194567679,4.43923744200684e-12,2.03574278573144e-10
