"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000090290",379.243576453815,-1.75877777415236,0.1590940553488,-11.0549559522912,2.07438632565371e-28,8.53765551980924e-25
"ENSMUSG00000049971",254.286789019322,-1.75428799026787,0.205269950356577,-8.54624842662296,1.27154163050384e-17,8.05130379345569e-15
"ENSMUSG00000064325",659.730239329738,-1.70060575676977,0.202569734337523,-8.39516210223291,4.65251917097669e-17,2.73551511113533e-14
"ENSMUSG00000021704",665.185667850859,-1.14035131319437,0.137917222305666,-8.26837500154265,1.35797179894007e-16,6.98634053935949e-14
"ENSMUSG00000061808",220.500171193142,-2.48584826048349,0.305633394049174,-8.13343145377476,4.17306095751847e-16,1.96288864410362e-13
"ENSMUSG00000074818",153.986646474251,-2.36117825809912,0.295517683916657,-7.98997280570537,1.34968522681605e-15,5.8473336550191e-13
"ENSMUSG00000041961",271.353319811346,-1.13858510382143,0.150934403249432,-7.5435757475373,4.5725703837195e-14,1.39404122642915e-11
"ENSMUSG00000055373",556.495494750097,-4.26515059998053,0.565328262833955,-7.54455575703857,4.53831837755447e-14,1.39404122642915e-11
"ENSMUSG00000071856",535.847588722156,-1.37611311097192,0.189904307616756,-7.24635016573211,4.28152333722727e-13,1.00695312429675e-10
"ENSMUSG00000023044",637.603044783463,-1.01694934317278,0.140619061583609,-7.23194516959654,4.76124443318948e-13,1.08867176532775e-10
"ENSMUSG00000024421",1686.19912187639,-1.5784500720594,0.220109860516761,-7.17119200545406,7.43475428558587e-13,1.58958908835844e-10
"ENSMUSG00000059824",309.371512197244,-2.78267601749276,0.389039258371514,-7.15268692712608,8.50955342759014e-13,1.75115972598021e-10
"ENSMUSG00000032028",1066.88288492141,-1.87013323325332,0.262423136603861,-7.12640378228679,1.03025197848354e-12,2.01917122878268e-10
"ENSMUSG00000021775",1531.72005642622,-1.33822531119304,0.190694652569322,-7.0176341767453,2.25656424245122e-12,3.91050706562889e-10
"ENSMUSG00000022994",5431.26673114372,-1.12465707254323,0.164747508222288,-6.82654981965354,8.69810980400715e-12,1.328896386106e-09
