"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000001930",1197.80321905753,-1.25273010944776,0.164654849709094,-7.60821871728064,2.77899277370093e-14,7.47688005764235e-11
"ENSMUSG00000100510",542.261829929883,-1.38308458413259,0.187781789578695,-7.36538184685353,1.76640516207312e-13,3.56438481641829e-10
"ENSMUSG00000041445",455.630339861763,-1.06589342152718,0.146305408100491,-7.28540000923999,3.2071727118394e-13,5.75259878746927e-10
"ENSMUSG00000091542",179.458761101991,-1.54413363897315,0.229767920523099,-6.72040568351629,1.81219303150443e-11,1.95028214050507e-08
"ENSMUSG00000021904",288.489125029229,-1.07030818991387,0.16238969095437,-6.59098606336171,4.36914904254614e-11,4.40819831211389e-08
"ENSMUSG00000047793",877.830696377897,-1.4042228169417,0.21545813456242,-6.51738129912602,7.15453959591763e-11,6.07872277352097e-08
"ENSMUSG00000028262",494.05212299333,-3.0394011894796,0.468880409999841,-6.48225245640063,9.03632693461313e-11,7.29367128527299e-08
"ENSMUSG00000024059",267.548907034334,-1.07197705203586,0.16792320003704,-6.38373406294908,1.72821111518478e-10,1.11594048129712e-07
"ENSMUSG00000036560",314.967006457383,-1.31694418849693,0.2145367205222,-6.1385490805088,8.32785839448755e-10,3.84104623034893e-07
"ENSMUSG00000059970",441.539860831831,-1.33734925794306,0.22225434268545,-6.01720192183501,1.77457670999221e-09,7.16174795735106e-07
"ENSMUSG00000001227",252.605501991954,-1.47625302628291,0.247190224753701,-5.9721335168243,2.34170755549037e-09,8.77847262373508e-07
"ENSMUSG00000026365",2346.11963049016,-1.20284555488011,0.204480816298968,-5.8824371725974,4.04268816894447e-09,1.33185949206675e-06
"ENSMUSG00000031871",613.383225465538,-1.04593475165152,0.179264395888401,-5.83459278942738,5.39220938823969e-09,1.67396992604526e-06
"ENSMUSG00000041268",337.828643770982,-1.03861469022165,0.181862330766717,-5.71099405711415,1.12318168789738e-08,2.87801936313134e-06
"ENSMUSG00000047945",1427.92250073244,-1.14417416504512,0.205406963248839,-5.57027934665979,2.54331228209879e-08,5.47422535598943e-06
"ENSMUSG00000033191",562.766533051018,-1.01916381038715,0.185962059125091,-5.48049325320491,4.24141691649898e-08,8.3499016198833e-06
"ENSMUSG00000042429",360.536107116382,-1.57166558133655,0.292551077002295,-5.37227754360386,7.77483165931109e-08,1.34956029544364e-05
"ENSMUSG00000042099",255.661739943713,-1.03662296905236,0.201064686749059,-5.15566898301802,2.52727008630862e-07,3.67547036065587e-05
"ENSMUSG00000020275",960.191926938878,-1.66813144573907,0.324644173796964,-5.13833784918725,2.77179220125608e-07,3.92500364077868e-05
"ENSMUSG00000039911",508.17654590271,-1.3308428273471,0.260584866501888,-5.10713782121135,3.27075193603426e-07,4.48593420640968e-05
"ENSMUSG00000028544",851.773152231145,-1.74628746127357,0.342881986284267,-5.09296939217392,3.52498623303159e-07,4.74198772998574e-05
"ENSMUSG00000025902",88.3919863259318,-1.64752954968174,0.330874521146346,-4.97931827441327,6.38086348790407e-07,7.74483302896507e-05
"ENSMUSG00000004328",220.052914446955,-1.37013532589504,0.27791399091566,-4.93006962830756,8.22003139508959e-07,9.47828334363795e-05
"ENSMUSG00000064246",187.722745911357,-2.69059821008816,0.548702947270441,-4.90356070342381,9.41148401145519e-07,0.00010335346013396
"ENSMUSG00000040809",372.415468293504,-2.0645663508043,0.421789019500808,-4.89478449023574,9.84135152954926e-07,0.000107343876852374
