"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000009185",851.549246538723,6.85046627441925,0.479564491484965,14.2847654404247,2.72324845503899e-46,4.4832839315307e-42
"ENSMUSG00000069792",477.324464240053,4.18308291365565,0.351524787729294,11.899823453921,1.185977846578e-32,9.76237664410684e-29
"ENSMUSG00000074195",27044.3522122239,8.12525779776191,0.726484606115181,11.1843495779093,4.86459129292814e-29,2.66952554851586e-25
"ENSMUSG00000090290",379.243576453815,-1.75877777415236,0.1590940553488,-11.0549559522912,2.07438632565371e-28,8.53765551980924e-25
"ENSMUSG00000026656",1748.76601144496,2.6106440375004,0.242171521161715,10.7801446882645,4.27213254381981e-27,1.19697337731353e-23
"ENSMUSG00000021091",8173.87745907543,3.83244032589605,0.35557262693161,10.7782209192193,4.36241284327351e-27,1.19697337731353e-23
"ENSMUSG00000030218",2274.53056845969,1.91536041830975,0.185311871366569,10.3358754308888,4.84963546356959e-25,1.14056498052494e-21
"ENSMUSG00000022650",1697.38922269394,9.72924504017044,0.947245035621532,10.2710963629243,9.51174785849229e-25,1.95739881242948e-21
"ENSMUSG00000027068",734.200454163018,4.01315825522232,0.395345667524252,10.1510110894946,3.2794794628807e-24,5.99889671082277e-21
"ENSMUSG00000056749",311.839209039097,2.96577586708268,0.298017687918817,9.95167732423517,2.47968013781667e-23,4.08229741088758e-20
"ENSMUSG00000018774",627.190673963815,1.93997552835798,0.199072438611785,9.74507341089624,1.93638860702655e-22,2.8980696034071e-19
"ENSMUSG00000021322",207.580224852914,2.9120075751703,0.301544319202525,9.65698038308766,4.59199657986496e-22,6.29983664119307e-19
"ENSMUSG00000031621",269.657760164026,7.62864428280908,0.796985794510082,9.57186983175592,1.04989414925644e-21,1.32956979840067e-18
"ENSMUSG00000059089",385.005999538515,4.90851622385983,0.515842022919465,9.51554159174458,1.80768791779819e-21,2.12571187076512e-18
"ENSMUSG00000040809",372.415468293504,4.71621131313461,0.51034182711086,9.24127920267472,2.43567660055722e-20,2.67323625833156e-17
"ENSMUSG00000026712",1732.31679724189,1.39044241204149,0.151597572393577,9.17193059287008,4.646221346325e-20,4.78067137653428e-17
"ENSMUSG00000024672",403.884165214826,2.26253367270269,0.247143237064865,9.1547464521915,5.44856063213474e-20,5.27645021687261e-17
"ENSMUSG00000019888",3218.52943326782,2.80656818798636,0.30868432066562,9.09203351156455,9.72037244002689e-20,8.89036063778682e-17
"ENSMUSG00000028194",824.687249328557,2.56351063920213,0.282370948214475,9.07852119848753,1.10059968569594e-19,9.53640664505909e-17
"ENSMUSG00000030732",260.296177204619,3.79305700637463,0.419093093564311,9.05063114764161,1.42144336140897e-19,1.1700611029438e-16
"ENSMUSG00000049037",239.901810710006,2.53265884920126,0.282885822549648,8.95293665258452,3.46148516769567e-19,2.71363953884637e-16
"ENSMUSG00000079012",246.921884953635,5.2193764675068,0.58563699660945,8.91230659559493,4.99816933985014e-19,3.74022099281604e-16
"ENSMUSG00000043832",203.042289048556,2.96285336600303,0.33332918769091,8.88867064575942,6.18443486554775e-19,4.42671092137012e-16
"ENSMUSG00000024679",458.259571198926,2.95646426581549,0.335365697100971,8.81564301707748,1.19000087544321e-18,8.16291017184232e-16
"ENSMUSG00000028859",272.208061515794,4.14396340629071,0.481223816215946,8.6113015745487,7.22356845983976e-18,4.75686430217368e-15
"ENSMUSG00000049971",254.286789019322,-1.75428799026787,0.205269950356577,-8.54624842662296,1.27154163050384e-17,8.05130379345569e-15
"ENSMUSG00000059498",933.148674244463,2.46465245395968,0.293051798445735,8.41029629243537,4.08976276151732e-17,2.49369497566147e-14
"ENSMUSG00000064325",659.730239329738,-1.70060575676977,0.202569734337523,-8.39516210223291,4.65251917097669e-17,2.73551511113533e-14
"ENSMUSG00000027225",1404.29253473365,3.14796013174508,0.376972496646775,8.35063608020914,6.78963174563104e-17,3.85440370442496e-14
"ENSMUSG00000023349",309.160377825547,2.59942833604918,0.31315614755004,8.30074183881,1.03463298218514e-16,5.49456864055289e-14
"ENSMUSG00000021704",665.185667850859,-1.14035131319437,0.137917222305666,-8.26837500154265,1.35797179894007e-16,6.98634053935949e-14
"ENSMUSG00000074677",153.15206758328,4.67218275798686,0.573129263290062,8.1520575849959,3.5778384523196e-16,1.78490771031932e-13
"ENSMUSG00000034652",387.219504672596,2.60004450287796,0.31923311173027,8.14465795476385,3.80355549337331e-16,1.8417039437472e-13
"ENSMUSG00000061808",220.500171193142,-2.48584826048349,0.305633394049174,-8.13343145377476,4.17306095751847e-16,1.96288864410362e-13
"ENSMUSG00000028415",2881.5847998586,1.8319465860729,0.228250441737867,8.02603741804271,1.0067152785098e-15,4.60376489725191e-13
"ENSMUSG00000022938",1198.57193034754,2.04495643379252,0.255310649280021,8.0096793438085,1.15007910515869e-15,5.11723035357498e-13
"ENSMUSG00000074818",153.986646474251,-2.36117825809912,0.295517683916657,-7.98997280570537,1.34968522681605e-15,5.8473336550191e-13
"ENSMUSG00000069516",8858.59905217815,2.23308947634565,0.28131193469644,7.93812562113777,2.05259399208068e-15,8.66457817733954e-13
"ENSMUSG00000025491",1195.32215670454,2.7125484149896,0.342512342785272,7.91956398689594,2.3834488597244e-15,9.8096796444107e-13
"ENSMUSG00000058715",529.395500631689,2.70550264188488,0.341885128782159,7.91348442537484,2.50283162413766e-15,1.00497846410191e-12
"ENSMUSG00000058818",768.417100547832,2.15990358948507,0.273580356587073,7.89495129120368,2.90428639993727e-15,1.13841111909922e-12
"ENSMUSG00000021190",3578.71159009679,1.80089149678881,0.229245173601106,7.85574443509298,3.97404648609635e-15,1.52150528606056e-12
"ENSMUSG00000034641",173.461932468669,3.26400319867758,0.416445933101989,7.83775981281634,4.58655254965176e-15,1.71610033238448e-12
"ENSMUSG00000027962",1819.62614699848,2.28360573212442,0.292797654493359,7.79926238164662,6.22700725710324e-15,2.27811601052646e-12
"ENSMUSG00000040552",380.687711060522,1.79634665351946,0.231188264397161,7.77005986096898,7.84490433837813e-15,2.80762304614607e-12
"ENSMUSG00000079419",616.562198453559,2.52085860774984,0.325604788455101,7.74208088188929,9.78027365635317e-15,3.42580096179877e-12
"ENSMUSG00000036905",1709.37025378927,2.09883559139267,0.272001390912423,7.71626786301415,1.19785437095419e-14,4.02454622633036e-12
"ENSMUSG00000008540",2120.61688307144,1.25483724568729,0.162579158029306,7.71831556330914,1.17877072295107e-14,4.02454622633036e-12
"ENSMUSG00000022122",691.327031487908,1.36624801885657,0.178112692821579,7.67069430714397,1.71067805849943e-14,5.63257857541523e-12
"ENSMUSG00000024610",17548.585538102,2.38520644514372,0.312564545022899,7.6310844691901,2.32787083082146e-14,7.51445833094385e-12
"ENSMUSG00000028655",235.411075965507,4.52706118822868,0.596857062027239,7.5848330802226,3.32915375836285e-14,1.05399727546014e-11
"ENSMUSG00000041961",271.353319811346,-1.13858510382143,0.150934403249432,-7.5435757475373,4.5725703837195e-14,1.39404122642915e-11
"ENSMUSG00000055373",556.495494750097,-4.26515059998053,0.565328262833955,-7.54455575703857,4.53831837755447e-14,1.39404122642915e-11
"ENSMUSG00000012428",1049.64899784021,2.69274870847286,0.357179900864492,7.53891442927087,4.73899793478568e-14,1.41851132727958e-11
"ENSMUSG00000073418",7147.79145362021,2.04164456635688,0.271012025826999,7.53340948663349,4.94322822275669e-14,1.42772572335515e-11
"ENSMUSG00000039109",1058.47044430329,1.03978521971421,0.138069525350089,7.53088139528062,5.03989520813e-14,1.43054818640421e-11
"ENSMUSG00000042684",134.561708702504,2.1638127101781,0.288236092307233,7.50708453218854,6.04586901039159e-14,1.68700239861147e-11
"ENSMUSG00000060904",4445.63224400978,1.03848044323604,0.138430337859302,7.50182697879087,6.29344098623602e-14,1.72681531594006e-11
"ENSMUSG00000036896",1573.07167318232,1.87744510013658,0.250720968086615,7.48818542966054,6.98323218747032e-14,1.88467133610367e-11
"ENSMUSG00000028581",1923.90396071719,1.93769087557172,0.259190958540443,7.47592001851936,7.66655765958457e-14,2.0357183669313e-11
"ENSMUSG00000049103",1137.49993048836,2.56931058804232,0.344466220815679,7.45881724471654,8.73025990820275e-14,2.24572295107409e-11
"ENSMUSG00000024397",292.961690436658,2.91127958868175,0.396052482698442,7.35074192401522,1.97109672092392e-13,4.99233312562622e-11
"ENSMUSG00000079547",715.335498565001,2.66044055476452,0.362441462394172,7.34033169712566,2.13065147232563e-13,5.31468411952983e-11
"ENSMUSG00000000290",763.782736617126,2.0710125729399,0.28306121721841,7.3164829618531,2.54554326313962e-13,6.25481772254739e-11
"ENSMUSG00000135102",1047.76590932285,3.45436186738663,0.473204552235603,7.2999337201362,2.87909519154585e-13,6.97037413800285e-11
"ENSMUSG00000036594",6070.21246269742,2.42714182017813,0.333014550064291,7.28839571637203,3.13667541165683e-13,7.48392569595745e-11
"ENSMUSG00000071856",535.847588722156,-1.37611311097192,0.189904307616756,-7.24635016573211,4.28152333722727e-13,1.00695312429675e-10
"ENSMUSG00000060550",1779.85800564984,2.49732770790532,0.345200082495143,7.23443543192217,4.6746967762283e-13,1.08393708488798e-10
"ENSMUSG00000023044",637.603044783463,-1.01694934317278,0.140619061583609,-7.23194516959654,4.76124443318948e-13,1.08867176532775e-10
"ENSMUSG00000046805",4550.25127006263,2.27568574151066,0.315296214908674,7.21761199121853,5.2908419477003e-13,1.19319357513685e-10
"ENSMUSG00000031722",1106.74401184489,6.89413171117328,0.955443649857272,7.2156340273999,5.36832562470367e-13,1.19430736161482e-10
"ENSMUSG00000037902",1468.5200444144,1.49474456722606,0.207880017405382,7.19041967516869,6.45924689360768e-13,1.41784775479284e-10
"ENSMUSG00000021939",14622.8775749211,1.03617621714569,0.144381667227143,7.17664671038582,7.14419824495376e-13,1.54756494350886e-10
"ENSMUSG00000024421",1686.19912187639,-1.5784500720594,0.220109860516761,-7.17119200545406,7.43475428558587e-13,1.58958908835844e-10
"ENSMUSG00000042429",360.536107116382,2.23030764751698,0.311442934704733,7.16120803842107,7.99691800140896e-13,1.6878623212461e-10
"ENSMUSG00000024300",442.852548375177,2.12200925654838,0.296492596222218,7.1570396144326,8.24378809998479e-13,1.71794282898797e-10
"ENSMUSG00000059824",309.371512197244,-2.78267601749276,0.389039258371514,-7.15268692712608,8.50955342759014e-13,1.75115972598021e-10
"ENSMUSG00000022488",782.503540299225,1.45778381502557,0.203942624395285,7.14800949212103,8.80452254863003e-13,1.78949203355674e-10
"ENSMUSG00000015947",322.458902106899,3.19199939224959,0.447311365306023,7.13596756046164,9.61086763149445e-13,1.92955748557675e-10
"ENSMUSG00000078763",143.822193226843,4.7013831814001,0.659345849671556,7.13037502813134,1.00095821623939e-12,1.98539459204207e-10
"ENSMUSG00000032028",1066.88288492141,-1.87013323325332,0.262423136603861,-7.12640378228679,1.03025197848354e-12,2.01917122878268e-10
"ENSMUSG00000035373",156.238723449252,3.85094410044965,0.540571598525121,7.12383726957992,1.04962962619145e-12,2.03294735717528e-10
"ENSMUSG00000030579",440.543855635906,2.49352762862878,0.350149943088328,7.12131381954777,1.06903070726049e-12,2.04644796902668e-10
"ENSMUSG00000140105",788.92465259795,2.64887082387212,0.372539851547651,7.11030192573452,1.15789368759219e-12,2.19108089411842e-10
"ENSMUSG00000079227",482.793744090674,2.98835657506266,0.420586343810604,7.10521541899697,1.201350071667e-12,2.24748025339248e-10
