"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000032028",1066.88288492141,3.18414564789203,0.279380225350758,11.3971761741347,4.31901680474612e-30,6.97218882790166e-26
"ENSMUSG00000075420",820.669879684838,1.60699768036677,0.153883483052049,10.4429510464305,1.57826649720834e-25,1.27389780322171e-21
"ENSMUSG00000059534",1403.64305867262,1.14520805768226,0.130822314147575,8.75391988854746,2.06067397995922e-18,1.10884866861606e-14
"ENSMUSG00000062638",214.857843121647,4.83137033675839,0.631745552835234,7.64765231045238,2.04681741643247e-14,6.60835471069388e-11
"ENSMUSG00000023247",3570.68194294501,2.88618776770358,0.399497438654356,7.22454636361437,5.0277731378214e-13,7.37848561489553e-10
"ENSMUSG00000021213",1676.8853742823,1.24614210816353,0.172241096119211,7.23487098166779,4.65971903039973e-13,7.37848561489553e-10
"ENSMUSG00000021236",2615.58855745062,1.02749573936063,0.15269374688278,6.7291278152302,1.70683076208438e-11,1.95028214050507e-08
"ENSMUSG00000030711",1414.64660470846,1.81207284344713,0.277509531350433,6.52976794933536,6.58716674054679e-11,5.90759070514705e-08
"ENSMUSG00000035811",222.096903637255,2.47687918839679,0.385922256348008,6.41807811717198,1.38005441278198e-10,9.28259099397477e-08
"ENSMUSG00000078377",51.4316443147649,8.91312667779386,1.40103822158535,6.36180122745557,1.99401387486769e-10,1.23805253776881e-07
"ENSMUSG00000028179",558.504626384801,1.37354584616618,0.218204173343414,6.29477349181797,3.07849054293651e-10,1.65653576115414e-07
"ENSMUSG00000026398",806.219304491809,1.0152892815061,0.163285714102534,6.21786962249836,5.03950008445354e-10,2.54227030822917e-07
"ENSMUSG00000029260",3941.73931456286,1.29302082151676,0.210417769739196,6.14501723461572,7.99548328471858e-10,3.79620843132976e-07
"ENSMUSG00000039865",760.836965151627,1.18716628208719,0.195618268006416,6.06879047742237,1.28877148294352e-09,5.47490474977824e-07
"ENSMUSG00000078670",960.005323381788,1.02115044651548,0.170975501671179,5.97249568817968,2.33651323405929e-09,8.77847262373508e-07
"ENSMUSG00000101249",235.262712925018,11.3544381069918,1.93856754079429,5.85712794011787,4.70940326240987e-09,1.52047793730165e-06
"ENSMUSG00000071551",1164.67617908644,2.549326660834,0.437592784703303,5.82579683657832,5.68407304626109e-09,1.73128285256213e-06
"ENSMUSG00000063882",2625.25095067114,1.16036394490989,0.201032887659203,5.77201053231138,7.83312187353094e-09,2.29909248008018e-06
"ENSMUSG00000030793",1920.72734332874,1.32434898232045,0.229717133406324,5.7651293252817,8.15952484556738e-09,2.35212874253561e-06
"ENSMUSG00000020581",9257.81792009381,1.33168834143618,0.233157017645275,5.71155161824127,1.11950729488961e-08,2.87801936313134e-06
"ENSMUSG00000047215",9183.01523840944,1.04330796945381,0.184196227473045,5.66411149547833,1.47788293009635e-08,3.61476729402203e-06
"ENSMUSG00000071528",989.891021877258,1.01121408932428,0.179161270095833,5.64415561903183,1.65993881939309e-08,3.94064593550921e-06
"ENSMUSG00000023057",624.767799913278,5.46991531604321,0.971619622861563,5.62968798420673,1.80535911608964e-08,4.16588961802071e-06
"ENSMUSG00000095649",6415.62649174712,2.15678015688199,0.384611931570415,5.60767875316713,2.05058183729342e-08,4.66232994358137e-06
"ENSMUSG00000020072",254.599576554425,1.4256568791479,0.254793210001616,5.5953487894707,2.20178674369417e-08,4.93658936159097e-06
"ENSMUSG00000039131",1896.65816636056,1.11061386047268,0.199029729818958,5.58014052213666,2.40324347946199e-08,5.2426431741831e-06
"ENSMUSG00000044156",1575.38450281026,1.12274846310974,0.204667664684155,5.48571492640216,4.11800532183001e-08,8.30961998878773e-06
"ENSMUSG00000031173",49.4771029517086,7.13186487214746,1.31502386754598,5.42337295022373,5.84847889711277e-08,1.08519534294358e-05
"ENSMUSG00000070661",749.860907498578,1.68128019629848,0.311475986859938,5.39778431476487,6.74689056988712e-08,1.21016727188542e-05
"ENSMUSG00000021290",1348.70717244879,1.0415949389532,0.194433645128241,5.35707149997729,8.45816555486697e-08,1.43726491107597e-05
"ENSMUSG00000027296",89.1983573053255,2.17607289471594,0.412152357829456,5.27977786218653,1.29340597570456e-07,2.13055639446925e-05
"ENSMUSG00000023039",1612.98811651154,1.25245694594685,0.237631796983638,5.27057810379259,1.35994740488523e-07,2.1805604015067e-05
"ENSMUSG00000090124",2712.70768130322,1.02912341634844,0.195279824270331,5.26999356023488,1.36428545222187e-07,2.1805604015067e-05
"ENSMUSG00000103711",819.106291979321,1.28802155891544,0.247437882418933,5.20543397124096,1.9354375861122e-07,3.00420855313551e-05
"ENSMUSG00000025716",35.3247292226973,3.03653059123034,0.58541094889602,5.18700683162262,2.13700894518473e-07,3.22408742075861e-05
"ENSMUSG00000038717",1887.0874488538,1.00884523050416,0.194603781030034,5.18409881434144,2.17061834832273e-07,3.24447148120128e-05
"ENSMUSG00000094840",990.689873430172,1.98368600284712,0.384060393885058,5.16503663077741,2.40391840350152e-07,3.56022520988303e-05
"ENSMUSG00000052485",711.99595475489,1.14685174386078,0.222882459821188,5.14554507690227,2.66745137415803e-07,3.81067854274629e-05
"ENSMUSG00000060961",2610.47528951122,2.04500293801482,0.401139642357307,5.09798265261771,3.43292269370675e-07,4.65694714659732e-05
"ENSMUSG00000074218",117.72262871331,1.56896095737322,0.309773446081885,5.06486587929969,4.08687984082203e-07,5.3205242959992e-05
"ENSMUSG00000040322",3731.55901206453,1.02330092169692,0.204771435947857,4.99728351740181,5.81435532881862e-07,7.22008754408608e-05
"ENSMUSG00000062410",569.136832109591,2.98214202254367,0.598435298224318,4.98323215791633,6.25308499863149e-07,7.68926259078423e-05
"ENSMUSG00000049971",254.286789019322,1.1078901986131,0.224465721282643,4.93567655801694,7.98733846993459e-07,9.27623056979526e-05
"ENSMUSG00000027359",44.5198324747866,4.719182887404,0.966517846016672,4.88266502978011,1.04661580368969e-06,0.000111890853767965
"ENSMUSG00000028307",503.950978009763,2.66259620071435,0.547063258602676,4.86707187668795,1.13263844348662e-06,0.000118728457098731
"ENSMUSG00000061959",82.9503284733804,3.67148815205016,0.76787249491596,4.7813773463158,1.74098213729558e-06,0.000168291464924326
"ENSMUSG00000003863",202.030081183709,1.95256901655848,0.409148392508114,4.77227590847681,1.82155731235486e-06,0.000171961401715465
"ENSMUSG00000073043",899.546981135869,1.33249056885558,0.281994215509846,4.72524078710776,2.29842848854188e-06,0.000209486877569731
"ENSMUSG00000121260",55.9323283578209,2.5269613969759,0.536061746469782,4.7139371790976,2.42975600734737e-06,0.000215514017728619
"ENSMUSG00000031613",1989.69743852039,1.04935730337676,0.22340138595934,4.69718349718628,2.63773466263921e-06,0.000228929842252606
"ENSMUSG00000016252",1366.42386396155,1.24775434318576,0.26577697161768,4.69474212002329,2.66943265589904e-06,0.000230441985904696
"ENSMUSG00000019689",191.029514337989,1.08480710680886,0.231171515866593,4.69265040176874,2.69688129540502e-06,0.000231573163572996
"ENSMUSG00000039323",240.454343940512,2.04068333563856,0.437345168746594,4.66607037523025,3.07014586597443e-06,0.000253980674233535
"ENSMUSG00000126291",38.6182628383259,2.14730492590428,0.461413074998829,4.65375829653231,3.259388509155e-06,0.0002642596502946
"ENSMUSG00000037362",644.571399273965,2.21028407950672,0.478544422206708,4.61876468920995,3.86031325734646e-06,0.000302509887928854
"ENSMUSG00000004038",189.681642472043,2.47177503581068,0.536134648140568,4.61036242366228,4.01967581940223e-06,0.000311969359387549
"ENSMUSG00000128875",42.9193866625075,2.74996784184785,0.599759272767552,4.58511934156231,4.5372720021296e-06,0.000340675264792456
"ENSMUSG00000034473",362.58556066572,1.0126428082224,0.220970140112312,4.58271333723059,4.58981053957874e-06,0.000341307546857612
"ENSMUSG00000029153",1747.19813764362,1.64447960831677,0.359312919371812,4.57673387083276,4.72291658564491e-06,0.000348137180100757
"ENSMUSG00000032883",3002.16360451798,1.07910954995488,0.237087811786572,4.55151845142634,5.32601258768341e-06,0.000382123649790992
"ENSMUSG00000006360",2618.97883649606,1.12968328007388,0.248346471931327,4.54881952334018,5.39476837882906e-06,0.000383646457882985
"ENSMUSG00000029201",3177.64045041665,1.4322000212677,0.316173405426485,4.52979281839284,5.90415544288028e-06,0.000410822333251795
"ENSMUSG00000036805",374.125673739414,1.60916518789624,0.35532163997948,4.52875650351374,5.93318244883241e-06,0.0004110702329249
"ENSMUSG00000024747",150.893475851943,1.24887348027332,0.276564294898852,4.51567141279055,6.311646802343e-06,0.000433569848213715
"ENSMUSG00000029596",122.615208533819,1.25542414049287,0.278288971640096,4.51122490803006,6.445433450819e-06,0.000439023764542495
"ENSMUSG00000060636",4796.87694561452,1.12371792093995,0.250392300562699,4.48782937180837,7.19525187910623e-06,0.000474376183560464
"ENSMUSG00000029161",431.259215604854,1.7349561699962,0.388328542627007,4.46775340864561,7.90453478978221e-06,0.000506360734569262
