geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000053317	223.48	273.9	192.83	345.96	251.71	266.26	367.79	399.64	376.97
ENSMUSG00000099398	0.89	0.91	0.66	2.44	1.85	1.39	0.93	1.42	1.97
ENSMUSG00000022901	3.27	3.35	3.02	8.51	8.35	12.22	10.28	7.64	6.07
ENSMUSG00000072571	14.75	16.57	19.8	37.38	49.52	33.31	17.85	25.13	27.22
ENSMUSG00000032841	1.75	1.15	3.41	4.02	4.48	7.99	3.27	2.58	2.29
ENSMUSG00000004709	1.67	0.85	1.03	6.22	5.14	6.16	2.89	2.12	1.81
ENSMUSG00000037902	18.99	17.16	21.39	92.06	59.52	50.23	46.48	42.14	38.63
ENSMUSG00000115020	0.53	0.51	0.64	0.25	0.24	0.2	0.17	0.23	0.19
ENSMUSG00000075012	2.24	0.98	1.15	3.46	4.04	2.62	1.47	1.56	1.29
ENSMUSG00000028373	0.47	0.73	0.5	1.54	1.19	0.96	0.47	1.32	0.78
ENSMUSG00000017724	33.35	49.89	18.94	7.38	2.03	0.27	4.75	6.33	4.59
ENSMUSG00000038296	5.75	5.24	3.93	11.26	11.19	8.83	4.69	4.54	4.82
ENSMUSG00000030830	2.88	2.35	1.7	17.18	10.06	17.76	9.57	6.87	5.69
ENSMUSG00000040605	17.24	15.17	18.45	11.55	11.86	9.43	16.17	32.87	14.67
ENSMUSG00000035407	0.6	0.3	0.19	0.64	0.75	1.27	0.46	0.66	0.64
ENSMUSG00000074671	1.64	1.77	1.43	4.05	3.02	3.68	2.24	2.55	2.36
ENSMUSG00000069094	67.78	74.44	71.92	29.29	36.45	20.78	21.29	7.92	44.76
ENSMUSG00000016496	7.84	4.01	3.85	12.47	11.39	89	28.72	10.03	22.19
ENSMUSG00000070327	18.19	10.85	9.77	15.29	22.4	48.96	24.87	12.16	27.97
